2018-06-05 11:35:33.350 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.security.SummerSecurityProviderApplicationTests], using SpringBootContextLoader
2018-06-05 11:35:40.397 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.class.path=C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.2\lib\idea_rt.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.2\plugins\junit\lib\junit-rt.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.2\plugins\junit\lib\junit5-rt.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_144\jre\lib\rt.jar;D:\zfy\workspace\summer\summer-security\summer-security-provider\target\test-classes;D:\zfy\workspace\summer\summer-security\summer-security-provider\target\classes;D:\zfy\workspace\summer\summer-security\summer-security-api\target\classes;D:\zfy\workspace\summer\summer-common\target\classes;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter\2.0.1.RELEASE\spring-boot-starter-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot\2.0.1.RELEASE\spring-boot-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-context\5.0.5.RELEASE\spring-context-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-autoconfigure\2.0.1.RELEASE\spring-boot-autoconfigure-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-logging\2.0.1.RELEASE\spring-boot-starter-logging-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\ch\qos\logback\logback-classic\1.2.3\logback-classic-1.2.3.jar;C:\Users\zengfy\.m2\repository\ch\qos\logback\logback-core\1.2.3\logback-core-1.2.3.jar;C:\Users\zengfy\.m2\repository\org\apache\logging\log4j\log4j-to-slf4j\2.10.0\log4j-to-slf4j-2.10.0.jar;C:\Users\zengfy\.m2\repository\org\apache\logging\log4j\log4j-api\2.10.0\log4j-api-2.10.0.jar;C:\Users\zengfy\.m2\repository\org\slf4j\jul-to-slf4j\1.7.25\jul-to-slf4j-1.7.25.jar;C:\Users\zengfy\.m2\repository\javax\annotation\javax.annotation-api\1.3.2\javax.annotation-api-1.3.2.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-core\5.0.5.RELEASE\spring-core-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-jcl\5.0.5.RELEASE\spring-jcl-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\yaml\snakeyaml\1.19\snakeyaml-1.19.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-data-redis\2.0.1.RELEASE\spring-boot-starter-data-redis-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\data\spring-data-redis\2.0.6.RELEASE\spring-data-redis-2.0.6.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\data\spring-data-keyvalue\2.0.6.RELEASE\spring-data-keyvalue-2.0.6.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\data\spring-data-commons\2.0.6.RELEASE\spring-data-commons-2.0.6.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-tx\5.0.5.RELEASE\spring-tx-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-oxm\5.0.5.RELEASE\spring-oxm-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-context-support\5.0.5.RELEASE\spring-context-support-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\io\lettuce\lettuce-core\5.0.3.RELEASE\lettuce-core-5.0.3.RELEASE.jar;C:\Users\zengfy\.m2\repository\io\projectreactor\reactor-core\3.1.6.RELEASE\reactor-core-3.1.6.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\reactivestreams\reactive-streams\1.0.2\reactive-streams-1.0.2.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-common\4.1.23.Final\netty-common-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-transport\4.1.23.Final\netty-transport-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-buffer\4.1.23.Final\netty-buffer-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-resolver\4.1.23.Final\netty-resolver-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-handler\4.1.23.Final\netty-handler-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\io\netty\netty-codec\4.1.23.Final\netty-codec-4.1.23.Final.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-security\2.0.1.RELEASE\spring-boot-starter-security-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-aop\5.0.5.RELEASE\spring-aop-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-beans\5.0.5.RELEASE\spring-beans-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\security\spring-security-config\5.0.4.RELEASE\spring-security-config-5.0.4.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\security\spring-security-core\5.0.4.RELEASE\spring-security-core-5.0.4.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\security\spring-security-web\5.0.4.RELEASE\spring-security-web-5.0.4.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-expression\5.0.5.RELEASE\spring-expression-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-web\5.0.5.RELEASE\spring-web-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\com\alibaba\spring\boot\dubbo-spring-boot-starter\2.0.0\dubbo-spring-boot-starter-2.0.0.jar;C:\Users\zengfy\.m2\repository\com\alibaba\dubbo\2.6.0\dubbo-2.6.0.jar;C:\Users\zengfy\.m2\repository\org\javassist\javassist\3.20.0-GA\javassist-3.20.0-GA.jar;C:\Users\zengfy\.m2\repository\org\jboss\netty\netty\3.2.5.Final\netty-3.2.5.Final.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-actuator\2.0.1.RELEASE\spring-boot-starter-actuator-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-actuator-autoconfigure\2.0.1.RELEASE\spring-boot-actuator-autoconfigure-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-actuator\2.0.1.RELEASE\spring-boot-actuator-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.9.5\jackson-databind-2.9.5.jar;C:\Users\zengfy\.m2\repository\com\fasterxml\jackson\core\jackson-annotations\2.9.0\jackson-annotations-2.9.0.jar;C:\Users\zengfy\.m2\repository\com\fasterxml\jackson\core\jackson-core\2.9.5\jackson-core-2.9.5.jar;C:\Users\zengfy\.m2\repository\com\fasterxml\jackson\datatype\jackson-datatype-jsr310\2.9.5\jackson-datatype-jsr310-2.9.5.jar;C:\Users\zengfy\.m2\repository\io\micrometer\micrometer-core\1.0.3\micrometer-core-1.0.3.jar;C:\Users\zengfy\.m2\repository\org\hdrhistogram\HdrHistogram\2.1.10\HdrHistogram-2.1.10.jar;C:\Users\zengfy\.m2\repository\org\latencyutils\LatencyUtils\2.0.3\LatencyUtils-2.0.3.jar;C:\Users\zengfy\.m2\repository\org\apache\zookeeper\zookeeper\3.4.9\zookeeper-3.4.9.jar;C:\Users\zengfy\.m2\repository\org\slf4j\slf4j-api\1.7.25\slf4j-api-1.7.25.jar;C:\Users\zengfy\.m2\repository\log4j\log4j\1.2.16\log4j-1.2.16.jar;C:\Users\zengfy\.m2\repository\jline\jline\0.9.94\jline-0.9.94.jar;C:\Users\zengfy\.m2\repository\io\netty\netty\3.10.5.Final\netty-3.10.5.Final.jar;C:\Users\zengfy\.m2\repository\org\mybatis\spring\boot\mybatis-spring-boot-starter\1.3.2\mybatis-spring-boot-starter-1.3.2.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-jdbc\2.0.1.RELEASE\spring-boot-starter-jdbc-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\com\zaxxer\HikariCP\2.7.8\HikariCP-2.7.8.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-jdbc\5.0.5.RELEASE\spring-jdbc-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\mybatis\spring\boot\mybatis-spring-boot-autoconfigure\1.3.2\mybatis-spring-boot-autoconfigure-1.3.2.jar;C:\Users\zengfy\.m2\repository\org\mybatis\mybatis\3.4.6\mybatis-3.4.6.jar;C:\Users\zengfy\.m2\repository\org\mybatis\mybatis-spring\1.3.2\mybatis-spring-1.3.2.jar;C:\Users\zengfy\.m2\repository\mysql\mysql-connector-java\5.1.38\mysql-connector-java-5.1.38.jar;C:\Users\zengfy\.m2\repository\org\mybatis\generator\mybatis-generator-core\1.3.5\mybatis-generator-core-1.3.5.jar;C:\Users\zengfy\.m2\repository\com\github\pagehelper\pagehelper-spring-boot-starter\1.2.3\pagehelper-spring-boot-starter-1.2.3.jar;C:\Users\zengfy\.m2\repository\com\github\pagehelper\pagehelper-spring-boot-autoconfigure\1.2.3\pagehelper-spring-boot-autoconfigure-1.2.3.jar;C:\Users\zengfy\.m2\repository\com\github\pagehelper\pagehelper\5.1.2\pagehelper-5.1.2.jar;C:\Users\zengfy\.m2\repository\com\github\jsqlparser\jsqlparser\1.0\jsqlparser-1.0.jar;C:\Users\zengfy\.m2\repository\com\alibaba\druid\1.1.5\druid-1.1.5.jar;C:\Users\zengfy\.m2\repository\com\alibaba\fastjson\1.2.32\fastjson-1.2.32.jar;C:\Users\zengfy\.m2\repository\com\101tec\zkclient\0.2\zkclient-0.2.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-starter-test\2.0.1.RELEASE\spring-boot-starter-test-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-test\2.0.1.RELEASE\spring-boot-test-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\springframework\boot\spring-boot-test-autoconfigure\2.0.1.RELEASE\spring-boot-test-autoconfigure-2.0.1.RELEASE.jar;C:\Users\zengfy\.m2\repository\com\jayway\jsonpath\json-path\2.4.0\json-path-2.4.0.jar;C:\Users\zengfy\.m2\repository\net\minidev\json-smart\2.3\json-smart-2.3.jar;C:\Users\zengfy\.m2\repository\net\minidev\accessors-smart\1.2\accessors-smart-1.2.jar;C:\Users\zengfy\.m2\repository\org\ow2\asm\asm\5.0.4\asm-5.0.4.jar;C:\Users\zengfy\.m2\repository\junit\junit\4.12\junit-4.12.jar;C:\Users\zengfy\.m2\repository\org\assertj\assertj-core\3.9.1\assertj-core-3.9.1.jar;C:\Users\zengfy\.m2\repository\org\mockito\mockito-core\2.15.0\mockito-core-2.15.0.jar;C:\Users\zengfy\.m2\repository\net\bytebuddy\byte-buddy\1.7.11\byte-buddy-1.7.11.jar;C:\Users\zengfy\.m2\repository\net\bytebuddy\byte-buddy-agent\1.7.11\byte-buddy-agent-1.7.11.jar;C:\Users\zengfy\.m2\repository\org\objenesis\objenesis\2.6\objenesis-2.6.jar;C:\Users\zengfy\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\zengfy\.m2\repository\org\hamcrest\hamcrest-library\1.3\hamcrest-library-1.3.jar;C:\Users\zengfy\.m2\repository\org\skyscreamer\jsonassert\1.5.0\jsonassert-1.5.0.jar;C:\Users\zengfy\.m2\repository\com\vaadin\external\google\android-json\0.0.20131108.vaadin1\android-json-0.0.20131108.vaadin1.jar;C:\Users\zengfy\.m2\repository\org\springframework\spring-test\5.0.5.RELEASE\spring-test-5.0.5.RELEASE.jar;C:\Users\zengfy\.m2\repository\org\xmlunit\xmlunit-core\2.5.1\xmlunit-core-2.5.1.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.2\lib\idea_rt.jar
2018-06-05 11:35:40.400 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.library.path=C:\Program Files\Java\jdk1.8.0_144\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;D:\Java7\jdk1.7.0_67\bin;D:\Java7\jdk1.7.0_67\jre;C:\mycat\bin;D:\apache-maven-3.3.9\bin;C:\Users\zengfy\AppData\Local\Programs\Python\Python36;D:\zfy\zengfeiyue文件\软件\hadoop\spark-1.6.0-bin-hadoop2.6\spark-1.6.0-bin-hadoop2.6\bin;D:\apache-maven-3.3.9\bin;C:\Program Files\nodejs\;C:\Users\zengfy\AppData\Local\Programs\Python\Python36\Scripts;C:\Program Files (x86)\ClockworkMod\Universal Adb Driver\;C:\Program Files\TortoiseGit\bin;C:\WINDOWS\System32\OpenSSH\;C:\Users\zengfy\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\zengfy\AppData\Local\Programs\Python\Python36\;C:\Users\zengfy\AppData\Local\Microsoft\WindowsApps;C:\Users\zengfy\AppData\Roaming\npm;C:\Users\zengfy\AppData\Local\GitHubDesktop\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;;C:\Users\zengfy\AppData\Local\Programs\Fiddler;.
2018-06-05 11:35:40.400 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=C:\Users\zengfy\AppData\Local\Temp\
2018-06-05 11:35:40.401 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2018-06-05 11:35:40.401 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.name=Windows 10
2018-06-05 11:35:40.401 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.arch=amd64
2018-06-05 11:35:40.401 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.version=10.0
2018-06-05 11:35:40.401 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.name=zengfy
2018-06-05 11:35:40.402 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.home=C:\Users\zengfy
2018-06-05 11:35:40.402 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.dir=D:\zfy\workspace\summer\summer-security\summer-security-provider
2018-06-05 11:35:40.405 [DubboZkclientConnector] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=127.0.0.1:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@18503457
2018-06-05 11:35:40.438 [DubboZkclientConnector-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-06-05 11:35:40.439 [DubboZkclientConnector-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established to 127.0.0.1/127.0.0.1:2181, initiating session
2018-06-05 11:35:40.479 [DubboZkclientConnector-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x163cdced58a0016, negotiated timeout = 30000
2018-06-05 11:35:41.614 [main] INFO  c.s.s.SummerSecurityProviderApplicationTests - Started SummerSecurityProviderApplicationTests in 7.369 seconds (JVM running for 8.99)
2018-06-05 11:35:41.724 [Thread-7] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@13d4992d: startup date [Tue Jun 05 11:35:34 CST 2018]; root of context hierarchy
2018-06-05 11:35:41.748 [DubboShutdownHook] INFO  org.apache.zookeeper.ZooKeeper - Session: 0x163cdced58a0016 closed
